VFD-MS300|1.05|  9.00A|460V| 5  HP|32|15|50|70|83|74|69|75|93|76|29|92|53|42|0|99|83|
Check    |Pr. No   |MODBUS   |Description     |Unit     |Data     |Default  |Min      |Max      |Attribute|Address  |Dot      |Attribute|
X        |00-22    |0016H    |Stop Methods     |####     |0        |0        |0        |1        |Writable |0016     |0        |8210     |
X        |00-23    |0017H    |Motor Direction  |####     |0        |0        |0        |2        |Writable |0017     |0        |8210     |
X        |00-24    |0018H    |Keypad FREQ      |Hz       |60.00    |60.00    |0.00     |599.00   |Read-Only|0018     |2        |1561     |
X        |00-25    |0019H    |User COEFF ATT   |####     |0000H    |0000H    |0000H    |FFFFH    |Writable |0019     |0        |82       |
X        |00-26    |001AH    |User COEFF MAX   |####     |0        |0        |0        |65535    |Writable |001A     |0        |16       |
X        |00-27    |001BH    |User COEFF SET   |####     |0        |0        |0        |0        |Read-Only|001B     |0        |27       |
X        |00-28    |001CH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|001C     |0        |32776    |
X        |00-29    |001DH    |LOC/REM SEL      |####     |0        |0        |0        |4        |Writable |001D     |0        |8208     |
X        |00-30    |001EH    |Hand FREQ Source |####     |0        |0        |0        |8        |Writable |001E     |0        |8210     |
X        |00-31    |001FH    |Hand OPER Source |####     |0        |0        |0        |5        |Writable |001F     |0        |8210     |
X        |00-32    |0020H    |KPD STOP ENABLE  |####     |0        |0        |0        |1        |Writable |0020     |0        |8210     |
X        |00-33    |0021H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0021     |0        |32776    |
X        |00-34    |0022H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0022     |0        |32776    |
X        |00-35    |0023H    |AUX FREQ Source  |####     |0        |0        |0        |8        |Writable |0023     |0        |9232     |
X        |00-36    |0024H    |AUX FREQ FUN SEL |####     |0        |0        |0        |2        |Writable |0024     |0        |9232     |
X        |00-37    |0025H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0025     |0        |32776    |
X        |00-38    |0026H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0026     |0        |32776    |
X        |00-39    |0027H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0027     |0        |32776    |
X        |00-40    |0028H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0028     |0        |32776    |
X        |00-41    |0029H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0029     |0        |32776    |
X        |00-42    |002AH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|002A     |0        |32776    |
X        |00-43    |002BH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|002B     |0        |32776    |
X        |00-44    |002CH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|002C     |0        |32776    |
X        |00-45    |002DH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|002D     |0        |32776    |
X        |00-46    |002EH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|002E     |0        |32776    |
X        |00-47    |002FH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|002F     |0        |32776    |
X        |00-48    |0030H    |LPF of AMPS Disp |sec      |0.100    |0.100    |0.001    |65.535   |Writable |0030     |3        |786      |
X        |00-49    |0031H    |LPF of Display   |sec      |0.100    |0.100    |0.001    |65.535   |Writable |0031     |3        |786      |
X        |00-50    |0032H    |Date Code        |####     |17063    |17063    |0        |65535    |Read-Only|0032     |0        |16408    |
X        |*****    |*****    |1 - BASIC PARAMETER|*****    |*****    |*****    |*****    |*****    |*****    |*****    |*****    |         |
X        |01-00    |0100H    |MAX Output FREQ  |Hz       |400.00   |60.00    |0.00     |599.00   |Writable |0100     |2        |1553     |
X        |01-01    |0101H    |Motor1 Fbase     |Hz       |300.00   |60.00    |0.00     |599.00   |Writable |0101     |2        |1557     |
X        |01-02    |0102H    |MAX Out-VOLT 1   |V        |460.0    |440.0    |0.0      |510.0    |Writable |0102     |1        |277      |
X        |01-03    |0103H    |MID Out-FREQ 1-1 |Hz       |3.00     |3.00     |0.00     |599.00   |Writable |0103     |2        |1553     |
X        |01-04    |0104H    |MID Out-VOLT 1-1 |V        |22.0     |22.0     |0.0      |480.0    |Writable |0104     |1        |275      |
X        |01-05    |0105H    |MID Out-FREQ 1-2 |Hz       |0.50     |0.50     |0.00     |599.00   |Writable |0105     |2        |1553     |
X        |01-06    |0106H    |MID Out-VOLT 1-2 |V        |4.0      |4.0      |0.0      |480.0    |Writable |0106     |1        |275      |
X        |01-07    |0107H    |MIN Out-FREQ 1   |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |0107     |2        |1553     |
X        |01-08    |0108H    |MIN Out-VOLT 1   |V        |0.0      |0.0      |0.0      |480.0    |Writable |0108     |1        |275      |
X        |01-09    |0109H    |Start Frequency  |Hz       |0.50     |0.50     |0.00     |599.00   |Writable |0109     |2        |1553     |
X        |01-10    |010AH    |Upper Bound FREQ |Hz       |599.00   |599.00   |0.00     |599.00   |Writable |010A     |2        |1555     |
X        |01-11    |010BH    |Lower Bound FREQ |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |010B     |2        |1555     |
X        |01-12    |010CH    |1st ACC Time     |sec      |2.00     |10.00    |0.00     |600.00   |Writable |010C     |2        |1555     |
X        |01-13    |010DH    |1st DEC Time     |sec      |10.00    |10.00    |0.00     |600.00   |Writable |010D     |2        |1555     |
X        |01-14    |010EH    |2nd ACC Time     |sec      |10.00    |10.00    |0.00     |600.00   |Writable |010E     |2        |1555     |
X        |01-15    |010FH    |2nd DEC Time     |sec      |10.00    |10.00    |0.00     |600.00   |Writable |010F     |2        |1555     |
X        |01-16    |0110H    |3rd ACC Time     |sec      |10.00    |10.00    |0.00     |600.00   |Writable |0110     |2        |1555     |
X        |01-17    |0111H    |3rd DEC Time     |sec      |10.00    |10.00    |0.00     |600.00   |Writable |0111     |2        |1555     |
X        |01-18    |0112H    |4th ACC Time     |sec      |10.00    |10.00    |0.00     |600.00   |Writable |0112     |2        |1555     |
X        |01-19    |0113H    |4th DEC Time     |sec      |10.00    |10.00    |0.00     |600.00   |Writable |0113     |2        |1555     |
X        |01-20    |0114H    |JOG ACC Time     |sec      |10.00    |10.00    |0.00     |600.00   |Writable |0114     |2        |1555     |
X        |01-21    |0115H    |JOG DEC Time     |sec      |10.00    |10.00    |0.00     |600.00   |Writable |0115     |2        |1555     |
X        |01-22    |0116H    |JOG Frequency    |Hz       |6.00     |6.00     |0.00     |599.00   |Writable |0116     |2        |1555     |
X        |01-23    |0117H    |TRANS ACC/DEC1-4 |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |0117     |2        |1555     |
X        |01-24    |0118H    |S Curve Time 1   |sec      |0.20     |0.20     |0.00     |25.00    |Writable |0118     |2        |1555     |
X        |01-25    |0119H    |S Curve Time 2   |sec      |0.20     |0.20     |0.00     |25.00    |Writable |0119     |2        |1555     |
X        |01-26    |011AH    |S Curve Time 3   |sec      |0.20     |0.20     |0.00     |25.00    |Writable |011A     |2        |1555     |
X        |01-27    |011BH    |S Curve Time 4   |sec      |0.20     |0.20     |0.00     |25.00    |Writable |011B     |2        |1555     |
X        |01-28    |011CH    |Skip FREQ  1Up   |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |011C     |2        |1553     |
X        |01-29    |011DH    |Skip FREQ  1Low  |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |011D     |2        |1553     |
X        |01-30    |011EH    |Skip FREQ  2Up   |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |011E     |2        |1553     |
X        |01-31    |011FH    |Skip FREQ  2Low  |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |011F     |2        |1553     |
X        |01-32    |0120H    |Skip FREQ  3Up   |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |0120     |2        |1553     |
X        |01-33    |0121H    |Skip FREQ  3Low  |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |0121     |2        |1553     |
X        |01-34    |0122H    |Select Zero SPD  |####     |0        |0        |0        |2        |Writable |0122     |0        |8208     |
X        |01-35    |0123H    |Motor2 Fbase     |Hz       |60.00    |60.00    |0.00     |599.00   |Writable |0123     |2        |1557     |
X        |01-36    |0124H    |Max Out-VOLT 2   |V        |440.0    |440.0    |0.0      |510.0    |Writable |0124     |1        |277      |
X        |01-37    |0125H    |Mid Out-FREQ 2-1 |Hz       |3.00     |3.00     |0.00     |599.00   |Writable |0125     |2        |1553     |
X        |01-38    |0126H    |Mid Out-VOLT 2-1 |V        |22.0     |22.0     |0.0      |480.0    |Writable |0126     |1        |275      |
X        |01-39    |0127H    |Mid Out-FREQ 2-2 |Hz       |0.50     |0.50     |0.00     |599.00   |Writable |0127     |2        |1553     |
X        |01-40    |0128H    |Mid Out-VOLT 2-2 |V        |4.0      |4.0      |0.0      |480.0    |Writable |0128     |1        |275      |
X        |01-41    |0129H    |Min Out-FREQ 2   |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |0129     |2        |1553     |
X        |01-42    |012AH    |Min Out-VOLT 2   |V        |0.0      |0.0      |0.0      |480.0    |Writable |012A     |1        |275      |
X        |01-43    |012BH    |VF Curve Mode    |####     |0        |0        |0        |2        |Writable |012B     |0        |8208     |
X        |01-44    |012CH    |Auto ACC/DEC     |####     |0        |0        |0        |4        |Writable |012C     |0        |8210     |
X        |01-45    |012DH    |ACC/DEC TimeUnit |####     |0        |0        |0        |1        |Writable |012D     |0        |8208     |
X        |01-46    |012EH    |Quick Stop Time  |sec      |1.00     |1.00     |0.00     |600.00   |Writable |012E     |2        |1555     |
X        |01-47    |012FH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|012F     |0        |32776    |
X        |01-48    |0130H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0130     |0        |32776    |
X        |01-49    |0131H    |Decel Method     |####     |0        |0        |0        |2        |Writable |0131     |0        |16       |
X        |01-50    |0132H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0132     |0        |32776    |
X        |01-51    |0133H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0133     |0        |32776    |
X        |01-52    |0134H    |MAX Output FREQ2 |Hz       |60.00    |60.00    |0.00     |599.00   |Writable |0134     |2        |1553     |
X        |01-53    |0135H    |MAX Output FREQ3 |Hz       |60.00    |60.00    |0.00     |599.00   |Writable |0135     |2        |1553     |
X        |01-54    |0136H    |Motor3 Fbase     |Hz       |60.00    |60.00    |0.00     |599.00   |Writable |0136     |2        |1557     |
X        |01-55    |0137H    |Max Out-VOLT 3   |V        |440.0    |440.0    |0.0      |510.0    |Writable |0137     |1        |277      |
X        |01-56    |0138H    |Mid Out-FREQ 3-1 |Hz       |3.00     |3.00     |0.00     |599.00   |Writable |0138     |2        |1553     |
X        |01-57    |0139H    |Mid Out-VOLT 3-1 |V        |22.0     |22.0     |0.0      |480.0    |Writable |0139     |1        |275      |
X        |01-58    |013AH    |Mid Out-FREQ 3-2 |Hz       |0.50     |0.50     |0.00     |599.00   |Writable |013A     |2        |1553     |
X        |01-59    |013BH    |Mid Out-VOLT 3-2 |V        |4.0      |4.0      |0.0      |480.0    |Writable |013B     |1        |275      |
X        |01-60    |013CH    |Min Out-FREQ 3   |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |013C     |2        |1553     |
X        |01-61    |013DH    |Min Out-VOLT 3   |V        |0.0      |0.0      |0.0      |480.0    |Writable |013D     |1        |275      |
X        |01-62    |013EH    |MAX Output FREQ4 |Hz       |60.00    |60.00    |0.00     |599.00   |Writable |013E     |2        |1553     |
X        |01-63    |013FH    |Motor4 Fbase     |Hz       |60.00    |60.00    |0.00     |599.00   |Writable |013F     |2        |1557     |
X        |01-64    |0140H    |Max Out-VOLT 4   |V        |440.0    |440.0    |0.0      |510.0    |Writable |0140     |1        |277      |
X        |01-65    |0141H    |Mid Out-FREQ 4-1 |Hz       |3.00     |3.00     |0.00     |599.00   |Writable |0141     |2        |1553     |
X        |01-66    |0142H    |Mid Out-VOLT 4-1 |V        |22.0     |22.0     |0.0      |480.0    |Writable |0142     |1        |275      |
X        |01-67    |0143H    |Mid Out-FREQ 4-2 |Hz       |0.50     |0.50     |0.00     |599.00   |Writable |0143     |2        |1553     |
X        |01-68    |0144H    |Mid Out-VOLT 4-2 |V        |4.0      |4.0      |0.0      |480.0    |Writable |0144     |1        |275      |
X        |01-69    |0145H    |Min Out-FREQ 4   |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |0145     |2        |1553     |
X        |01-70    |0146H    |Min Out-VOLT 4   |V        |0.0      |0.0      |0.0      |480.0    |Writable |0146     |1        |275      |
X        |*****    |*****    |2 - DIGITAL IN/OUT|*****    |*****    |*****    |*****    |*****    |*****    |*****    |*****    |         |
X        |02-00    |0200H    |2/3 wire Control |####     |1        |1        |0        |6        |Writable |0200     |0        |8208     |
X        |02-01    |0201H    |MULTI-FUN In 1   |####     |0        |0        |0        |84       |Writable |0201     |0        |8208     |
X        |02-02    |0202H    |MULTI-FUN In 2   |####     |0        |0        |0        |84       |Writable |0202     |0        |8208     |
X        |02-03    |0203H    |MULTI-FUN In 3   |####     |1        |1        |0        |84       |Writable |0203     |0        |8208     |
X        |02-04    |0204H    |MULTI-FUN In 4   |####     |2        |2        |0        |84       |Writable |0204     |0        |8208     |
X        |02-05    |0205H    |MULTI-FUN In 5   |####     |3        |3        |0        |84       |Writable |0205     |0        |8208     |
X        |02-06    |0206H    |MULTI-FUN In 6   |####     |4        |4        |0        |84       |Writable |0206     |0        |8208     |
X        |02-07    |0207H    |MULTI-FUN In 7   |####     |0        |0        |0        |84       |Writable |0207     |0        |8208     |
X        |02-08    |0208H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0208     |0        |32776    |
X        |02-09    |0209H    |Up/Down Key Mode |####     |0        |0        |0        |3        |Writable |0209     |0        |8210     |
X        |02-10    |020AH    |Up/Down Key SPD  |Hzms     |0.001    |0.001    |0.001    |1.000    |Writable |020A     |3        |1811     |
X        |02-11    |020BH    |MFI Response     |sec      |0.005    |0.005    |0.000    |30.000   |Writable |020B     |3        |786      |
X        |02-12    |020CH    |MULTI-Input ACT  |####     |0000H    |0000H    |0000H    |FFFFH    |Writable |020C     |0        |82       |
X        |02-13    |020DH    |MULTI-FUN RLY1   |####     |11       |11       |0        |74       |Writable |020D     |0        |8210     |
X        |02-14    |020EH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|020E     |0        |32776    |
X        |02-15    |020FH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|020F     |0        |32776    |
X        |02-16    |0210H    |MULTI-FUN Out 1  |####     |0        |0        |0        |74       |Writable |0210     |0        |8210     |
X        |02-17    |0211H    |MULTI-FUN Out 2  |####     |0        |0        |0        |74       |Writable |0211     |0        |8210     |
X        |02-18    |0212H    |MULTI-Output ACT |####     |0000H    |0000H    |0000H    |FFFFH    |Writable |0212     |0        |82       |
X        |02-19    |0213H    |Final Counter    |####     |0        |0        |0        |65500    |Writable |0213     |0        |18       |
X        |02-20    |0214H    |Middle Counter   |####     |0        |0        |0        |65500    |Writable |0214     |0        |18       |
X        |02-21    |0215H    |DFM Gain         |####     |1        |1        |1        |55       |Writable |0215     |0        |18       |
X        |02-22    |0216H    |Desire-FREQ1     |Hz       |60.00    |60.00    |0.00     |599.00   |Writable |0216     |2        |1555     |
X        |02-23    |0217H    |Desire-FREQ1 BND |Hz       |2.00     |2.00     |0.00     |599.00   |Writable |0217     |2        |1555     |
X        |02-24    |0218H    |Desire-FREQ2     |Hz       |60.00    |60.00    |0.00     |599.00   |Writable |0218     |2        |1555     |
X        |02-25    |0219H    |Desire-FREQ2 BND |Hz       |2.00     |2.00     |0.00     |599.00   |Writable |0219     |2        |1555     |
X        |02-26    |021AH    |MULTI-FUN In 8   |####     |0        |0        |0        |84       |Writable |021A     |0        |9233     |
X        |02-27    |021BH    |MULTI-FUN In 9   |####     |0        |0        |0        |84       |Writable |021B     |0        |9233     |
X        |02-28    |021CH    |MULTI-FUN In 10  |####     |0        |0        |0        |84       |Writable |021C     |0        |9233     |
X        |02-29    |021DH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|021D     |0        |32776    |
X        |02-30    |021EH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|021E     |0        |32776    |
X        |02-31    |021FH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|021F     |0        |32776    |
X        |02-32    |0220H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0220     |0        |32776    |
X        |02-33    |0221H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0221     |0        |32776    |
X        |02-34    |0222H    |Speed Area Set   |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |0222     |2        |530      |
X        |02-35    |0223H    |Fault Reset OP   |####     |0        |0        |0        |1        |Writable |0223     |0        |8210     |
X        |02-36    |0224H    |MULTI-FUN Out 3  |####     |0        |0        |0        |74       |Writable |0224     |0        |9235     |
X        |02-37    |0225H    |MULTI-FUN Out 4  |####     |0        |0        |0        |74       |Writable |0225     |0        |9235     |
X        |02-38    |0226H    |MULTI-FUN Out 5  |####     |0        |0        |0        |74       |Writable |0226     |0        |9235     |
X        |02-39    |0227H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0227     |0        |32776    |
X        |02-40    |0228H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0228     |0        |32776    |
X        |02-41    |0229H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0229     |0        |32776    |
X        |02-42    |022AH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|022A     |0        |32776    |
X        |02-43    |022BH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|022B     |0        |32776    |
X        |02-44    |022CH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|022C     |0        |32776    |
X        |02-45    |022DH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|022D     |0        |32776    |
X        |02-46    |022EH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|022E     |0        |32776    |
X        |02-47    |022FH    |Desire RPM       |rpm      |0        |0        |0        |65535    |Writable |022F     |0        |18       |
X        |02-48    |0230H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0230     |0        |32776    |
X        |02-49    |0231H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0231     |0        |32776    |
X        |02-50    |0232H    |MIx Status       |####     |0000H    |0000H    |0000H    |FFFFH    |Read-Only|0232     |0        |72       |
X        |02-51    |0233H    |MOx.Status       |####     |0000H    |0000H    |0000H    |FFFFH    |Read-Only|0233     |0        |72       |
X        |02-52    |0234H    |PLC MI1~16 Mask  |####     |0000H    |0000H    |0000H    |FFFFH    |Read-Only|0234     |0        |16472    |
X        |02-53    |0235H    |PLC MO1~16 Mask  |####     |0000H    |0000H    |0000H    |FFFFH    |Read-Only|0235     |0        |16472    |
X        |02-54    |0236H    |EXT Speed REC    |Hz       |60.00    |60.00    |0.00     |599.00   |Read-Only|0236     |2        |1561     |
X        |02-55    |0237H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0237     |0        |32776    |
X        |02-56    |0238H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0238     |0        |32776    |
X        |02-57    |0239H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0239     |0        |32776    |
X        |02-58    |023AH    |Braking Freq     |Hz       |0.00     |0.00     |0.00     |599.00   |Writable |023A     |2        |531      |
X        |02-59    |023BH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|023B     |0        |32776    |
X        |02-60    |023CH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|023C     |0        |32776    |
X        |02-61    |023DH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|023D     |0        |32776    |
X        |02-62    |023EH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|023E     |0        |32776    |
X        |02-63    |023FH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|023F     |0        |32776    |
X        |02-64    |0240H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0240     |0        |32776    |
X        |02-65    |0241H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0241     |0        |32776    |
X        |02-66    |0242H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0242     |0        |32776    |
X        |02-67    |0243H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0243     |0        |32776    |
X        |02-68    |0244H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0244     |0        |32776    |
X        |02-69    |0245H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0245     |0        |32776    |
X        |02-70    |0246H    |IO Card ID       |####     |0        |0        |0        |7        |Read-Only|0246     |0        |8216     |
X        |02-71    |0247H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0247     |0        |32776    |
X        |02-72    |0248H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0248     |0        |32776    |
X        |02-73    |0249H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0249     |0        |32776    |
X        |02-74    |024AH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|024A     |0        |32776    |
X        |02-75    |024BH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|024B     |0        |32776    |
X        |02-76    |024CH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|024C     |0        |32776    |
X        |02-77    |024DH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|024D     |0        |32776    |
X        |02-78    |024EH    |GearRatioReducer |####     |200.0    |200.0    |4.0      |1000.0   |Writable |024E     |1        |272      |
X        |02-79    |024FH    |Index Angle      |####     |180.0    |180.0    |0.0      |6480.0   |Writable |024F     |1        |272      |
X        |02-80    |0250H    |Index decel.     |sec      |0.00     |0.00     |0.00     |100.00   |Writable |0250     |2        |530      |
X        |02-81    |0251H    |Count EF Setup   |####     |0        |0        |0        |1        |Writable |0251     |0        |8210     |
X        |02-82    |0252H    |Stop Freq. Sel.  |####     |0        |0        |0        |2        |Writable |0252     |0        |8210     |
X        |02-83    |0253H    |Stop Freq. Init. |Hz       |60.00    |60.00    |0.00     |599.00   |Writable |0253     |2        |1554     |
X        |*****    |*****    |3 - ANALOG IN/OUT|*****    |*****    |*****    |*****    |*****    |*****    |*****    |*****    |         |
X        |03-00    |0300H    |AVI Selection    |####     |1        |1        |0        |13       |Writable |0300     |0        |8210     |
X        |03-01    |0301H    |ACI Selection    |####     |0        |0        |0        |13       |Writable |0301     |0        |8210     |
X        |03-02    |0302H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0302     |0        |32776    |
X        |03-03    |0303H    |AVI Input Bias   |%        |0.0      |0.0      |-100.0   |100.0    |Writable |0303     |1        |402      |
X        |03-04    |0304H    |ACI Input Bias   |%        |0.0      |0.0      |-100.0   |100.0    |Writable |0304     |1        |402      |
X        |03-05    |0305H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0305     |0        |32776    |
X        |03-06    |0306H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0306     |0        |32776    |
X        |03-07    |0307H    |AVI Bias Mode    |####     |0        |0        |0        |4        |Writable |0307     |0        |8210     |
X        |03-08    |0308H    |ACI Bias Mode    |####     |0        |0        |0        |4        |Writable |0308     |0        |8210     |
X        |03-09    |0309H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0309     |0        |32776    |
X        |03-10    |030AH    |AI Bias REV Mode |####     |0        |0        |0        |1        |Writable |030A     |0        |8210     |
X        |03-11    |030BH    |AVI Input Gain   |%        |100.0    |100.0    |-500.0   |500.0    |Writable |030B     |1        |402      |
X        |03-12    |030CH    |ACI Input Gain   |%        |100.0    |100.0    |-500.0   |500.0    |Writable |030C     |1        |402      |
X        |03-13    |030DH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|030D     |0        |32776    |
X        |03-14    |030EH    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|030E     |0        |32776    |
X        |03-15    |030FH    |AVI Input LPF    |sec      |0.01     |0.01     |0.00     |20.00    |Writable |030F     |2        |530      |
X        |03-16    |0310H    |ACI Input LPF    |sec      |0.01     |0.01     |0.00     |20.00    |Writable |0310     |2        |530      |
X        |03-17    |0311H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0311     |0        |32776    |
X        |03-18    |0312H    |Addition of AI   |####     |0        |0        |0        |1        |Writable |0312     |0        |8210     |
X        |03-19    |0313H    |Loss of ACI      |####     |0        |0        |0        |3        |Writable |0313     |0        |8210     |
X        |03-20    |0314H    |AFM1 Setting     |####     |0        |0        |0        |23       |Writable |0314     |0        |8210     |
X        |03-21    |0315H    |AFM1 Gain        |%        |100.0    |100.0    |0.0      |500.0    |Writable |0315     |1        |274      |
X        |03-22    |0316H    |AFM1 Output Mode |####     |0        |0        |0        |2        |Writable |0316     |0        |8210     |
X        |03-23    |0317H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0317     |0        |32776    |
X        |03-24    |0318H    |Reserved         |####     |0        |0        |0        |65535    |Read-Only|0318     |0        |32776    |
